product_id,category_code,style_name,body_tone_code,season,status,line_type,popularity_tier,launch_date
NQ-ACC-BLT-002,ACC,레더 스퀘어 벨트,BLT,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-ACC-SCF-003,ACC,울 블렌드 스퀘어 스카프,SCF,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-ACC-CAP-004,ACC,코튼 볼캡,CAP,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-ACC-PCH-005,ACC,미니 파우치백,PCH,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-ACC-BAG-001,ACC,크로스 숄더백,BAG,Y3SS,판매중,BASIC,STEADY,2026-03-01
TRD-ACC-01-CHM-001,ACC,미니 참 키링,CHM,Y3SS,판매중,TREND,STEADY,2026-03-01
NQ-CLR-WRM-001,CLR,WRM 퍼스널컬러 베이직 탑,WRM,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-CLR-COOL-002,CLR,COOL 퍼스널컬러 베이직 탑,COOL,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-CLR-MUT-003,CLR,MUT 퍼스널컬러 베이직 탑,MUT,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-CLR-WRM-004,CLR,WRM 퍼스널컬러 니트 가디건,WRM,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-CLR-COOL-005,CLR,COOL 퍼스널컬러 니트 가디건,COOL,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-CLR-MUT-006,CLR,MUT 퍼스널컬러 니트 가디건,MUT,Y1SS,판매중,BASIC,STEADY,2024-03-01
TRD-CLR-01-WRM-001,CLR,톤온톤 니트 셋업,WRM,Y1FW,단종,TREND,STEADY,2024-09-01
TRD-CLR-01-COOL-002,CLR,톤온톤 니트 셋업,COOL,Y1FW,단종,TREND,STEADY,2024-09-01
TRD-CLR-01-MUT-003,CLR,톤온톤 니트 셋업,MUT,Y1FW,단종,TREND,STEADY,2024-09-01
NQ-DRS-STR-001,DRS,STR 체형핏 원피스,STR,Y3SS,판매중,BASIC,HERO,2026-03-01
NQ-DRS-WAV-002,DRS,WAV 체형핏 원피스,WAV,Y3SS,판매중,BASIC,HERO,2026-03-01
NQ-DRS-NAT-003,DRS,NAT 체형핏 원피스,NAT,Y3SS,판매중,BASIC,HERO,2026-03-01
NQ-DRS-STR-004,DRS,STR 니트 원피스,STR,Y3SS,판매중,BASIC,STEADY,2026-03-01
NQ-DRS-WAV-005,DRS,WAV 니트 원피스,WAV,Y3SS,판매중,BASIC,STEADY,2026-03-01
NQ-DRS-NAT-006,DRS,NAT 니트 원피스,NAT,Y3SS,판매중,BASIC,STEADY,2026-03-01
NQ-OUT-STR-001,OUT,STR 드롭숄더 아우터,STR,Y2SS,판매중,BASIC,HERO,2025-03-01
NQ-OUT-WAV-002,OUT,WAV 드롭숄더 아우터,WAV,Y2SS,판매중,BASIC,HERO,2025-03-01
